idCamara,codigo,tiempoProcesamiento
c29,WZ963,3
c30,WM617,1
c31,LS959,4
c32,XM135,4
c33,IQ772,2
c34,IQ977,3
c35,RO781,4
c29,WV882,2
c30,VW270,1
c31,YE333,3
c32,GH621,1
c33,XP937,1
c34,CD845,3
c35,JP515,4
c29,XV672,3
c30,HQ594,3
c31,MZ508,3
c32,RD422,1
c33,CY436,1
c34,GO613,2
c35,NR392,3
c29,YH382,3
c30,YR171,3
c31,RH761,1
c32,YV345,3
c33,YQ772,3
c34,QL543,4
c35,IY771,1
c29,SV442,4
c30,SR652,1
c31,MF128,3
c32,VJ638,3
c33,QE324,1
c34,WU387,3
c35,GF810,4
c29,IM721,2
c30,OU513,3
c31,KM576,1
c32,GJ348,2
c33,ZY658,3
c34,QS216,4
c35,RC400,4
c29,WQ895,1
c30,GG477,1
c31,JO502,2
c32,GQ272,3
c33,UM389,4
c34,JL373,1
c35,DY828,3
c29,LV994,2
c30,JR730,4
c31,KN841,2
c32,LX663,1
c33,XS586,1
c34,UH662,1
c35,JF586,4
c29,GT101,1
c30,TM574,3
c31,QQ607,4
c32,QZ194,4
c33,DW468,3
c34,WD134,1
c35,HP878,3
c29,SR833,1
c30,IH148,3
c31,RV390,3
c32,YJ214,4
c33,ZF436,4
c34,KY943,1
c35,CF466,4
c29,HF264,4
c30,IU765,2
c31,OE712,4
c32,SV884,3
c33,RC750,1
c34,TN584,2
c35,LS931,4
c29,QH810,4
c30,OS624,1
c31,ZC651,3
c32,NZ613,1
c33,UH602,4
c34,UZ926,2
c35,KI808,1
c30,UM426,3
c31,OS983,1
c32,YS925,4
c33,PP983,1
c34,TC247,1
c35,PV612,2
c29,MJ419,1
c30,SH343,4
c31,PT977,3
c32,QD689,3
c33,VR234,1
c34,TD468,4
c35,NW140,3
c34,LQ506,2
c35,IQ249,2
c29,IZ846,2
c30,KI552,4
c31,XS730,2
c32,QH837,3
c33,CV932,1
c34,JN762,2
c35,UR189,4
c29,CH585,4
c30,NH863,3
c31,JF314,3
c32,YZ196,2
c33,ND916,1
c34,VE878,4
c35,GD879,1
c29,VF276,2
c30,XX309,2
c31,QW612,4
c32,EU461,3
c33,FZ126,3
c34,VT559,3
c35,XO164,2
c29,FW972,4
c30,CX437,2
c31,LQ184,1
c32,IW526,1
c33,FX309,4
c34,SH950,2
c35,PJ133,3
c29,VQ689,3
c30,RC466,3
c31,JC689,4
c32,JY909,4
c33,YZ602,2
c34,SN935,1
c35,HL141,2
c29,UC850,1
c30,FO827,2
c31,SU244,3
c32,MU911,1
c33,HN171,4
c34,UQ638,2
c35,RY808,2
c29,RG349,3
c30,IX503,1
c31,NT419,3
c32,HU536,1
c33,UE414,1
c34,WE203,4
c35,VW761,2
c29,VH273,3
c30,QK702,4
c31,YF943,3
c32,CN122,2
c33,SW716,1
c34,JK526,3
c35,ES717,4
c29,OS989,1
c30,OI365,1
c31,MW885,1
c32,DD934,4
c33,YD695,4
c34,EE538,4
c35,WG745,2
c29,ZW885,1
c30,OM568,4
c31,RL569,1
c32,XT130,3
c33,TD407,4
c34,VY833,2
c35,PD801,4
c29,PR887,2
c30,FT966,2
c31,YZ769,4
c32,WO352,2
c33,UR487,4
c34,PX101,3
c35,YZ507,2
c29,YJ717,4
c30,JZ227,1
c31,JX716,1
c32,DI666,4
c33,OX535,1
c34,YZ557,2
c35,PX549,4
c30,MQ777,4
c31,DP328,1
c32,TN199,3
c33,DK927,2
c34,GG793,1
c35,NG781,3
c29,WK304,1
c30,PI160,3
c31,WC251,3
c32,UR296,3
c33,TO326,2
c34,HN268,3
c35,PF178,4
c34,RS515,1
c35,WW874,2
c29,KR406,4
c30,RQ341,2
c31,MG658,3
c32,PD681,4
c33,RD548,3
c34,YI292,2
c35,GO902,4
c29,OY698,4
c30,GQ306,4
c31,UK127,3
c32,GQ323,1
c33,PF992,3
c34,JU408,3
c35,RO957,2
c29,TY350,3
c30,LO153,3
c31,SR375,4
c32,ZF626,1
c33,MW245,1
c34,FK262,3
c35,PN908,3
c29,GE412,1
c30,ZK519,2
c31,FF296,1
c32,TI463,4
c33,GI633,1
c34,WU819,4
c35,OV959,4
c29,PI787,1
c30,MD322,4
c31,KR439,2
c32,RC311,2
c33,SE434,1
c34,ER777,3
c35,CE465,4
c29,PP485,3
c30,XT787,3
c31,JN478,3
c32,RC683,2
c33,HP336,3
c34,MW224,2
c35,YC212,2
c29,WO795,2
c30,HO546,1
c31,TR685,4
c32,NZ632,1
c33,OE141,3
c34,SI341,3
c35,ES602,3
c29,CH333,3
c30,RP596,1
c31,KV478,1
c32,QK770,3
c33,XX962,4
c34,CN592,3
c35,CP385,3
c29,TG716,1
c30,RL392,4
c31,YK663,3
c32,KS192,3
c33,EM855,4
c34,HO147,3
c35,HN273,1
c29,QM582,2
c30,EE490,2
c31,YI748,1
c32,YE363,4
c33,FI851,3
c34,DV920,3
c35,RM123,1
c29,GF179,1
c30,UT242,4
c31,SF822,1
c32,OV879,3
c33,JW317,1
c34,XL592,2
c35,MG518,2
c29,RL724,1
c30,PR262,2
c31,QS366,3
c32,VS184,4
c33,PY240,3
c34,SN632,1
c35,PT853,3
c30,HE586,1
c31,KX949,3
c32,LO705,3
c33,RF415,3
c34,DJ825,4
c35,PK347,1
c29,HL518,1
c30,ZD370,3
c31,SI760,4
c32,CI397,3
c33,FS281,1
c34,RK292,3
c35,ZG232,4
c34,HI413,1
c35,WJ876,2
c34,VW949,3
c35,GY775,3
