idCamara,codigo,tiempoProcesamiento
c1,VH684,1
c2,BX261,2
c3,GV183,1
c4,RH943,2
c5,LV430,1
c6,DX473,3
c7,FM084,4
c8,JG885,2
c9,KF624,2
c1,DO342,2
c2,HU051,4
c3,QN887,3
c4,XB849,1
c5,VI373,3
c6,NK003,1
c7,UK299,3
c8,JR998,3
c9,TR666,1
c1,OQ235,3
c2,RC725,4
c3,ID299,2
c4,OJ842,3
c5,EQ201,3
c6,AV747,4
c7,YY866,4
c8,SI913,1
c9,JG257,2
c1,IW397,4
c2,UF450,4
c3,AH690,3
c4,MC877,2
c5,ER850,3
c6,KY123,3
c7,IM054,3
c8,FV650,3
c9,MM277,4
c1,PS223,1
c2,SB592,4
c3,QT203,3
c4,RV342,4
c5,LU897,4
c6,FD013,1
c7,BC778,4
c8,BR435,3
c9,MC802,4
c1,UN638,4
c2,WO583,1
c3,VE167,4
c4,YZ651,2
c5,LT769,1
c6,HG057,4
c7,NT479,1
c8,SV368,2
c9,TG394,2
c1,AZ607,3
c2,IP227,3
c3,YJ847,2
c4,IM657,4
c5,MK881,1
c6,ZS108,3
c7,PW197,1
c8,VC383,3
c9,BQ588,2
c1,EM600,2
c2,GD414,4
c3,CS362,3
c4,NH736,3
c5,NI848,4
c6,MZ978,3
c7,OJ960,2
c8,NR954,2
c9,UV648,1
c1,PK039,4
c2,IV542,2
c3,OZ773,1
c4,YI457,1
c5,HD586,2
c6,QD117,2
c7,MV089,4
c8,QN887,2
c9,GE905,1
c1,PM980,2
c2,RI592,4
c3,BA524,1
c4,IU569,4
c5,VP877,4
c6,YT721,2
c7,OB237,1
c8,QN269,2
c9,AZ754,4
c1,KA712,1
c2,FE054,4
c3,LA932,2
c4,EQ225,4
c5,BF373,3
c6,WZ358,2
c7,GQ707,1
c8,MP928,2
c9,IY304,4
c1,BU676,1
c2,MH228,2
c3,ZT131,4
c4,PR172,3
c5,YN903,2
c6,HF765,2
c7,UY406,1
c8,ZN901,3
c9,OR986,3
c1,QS307,3
c2,NS452,4
c3,SX058,4
c4,TE058,1
c5,DK183,3
c6,IV630,1
c7,VG861,2
c8,LF767,3
c9,MK266,1
c1,OB766,3
c2,NP020,1
c3,TT999,1
c4,WO539,3
c5,PT520,4
c6,XJ629,2
c7,EZ386,4
c8,VS078,2
c9,PJ330,3
c1,DY687,3
c2,YJ522,3
c3,YW626,2
c4,NZ238,3
c5,SJ334,1
c6,RX119,2
c7,ZU394,4
c8,CT905,1
c9,KK886,2
c1,IT810,2
c2,GA203,2
c3,HZ813,4
c4,RN183,1
c5,QN773,4
c6,RF714,4
c7,YA638,1
c8,WI120,1
c9,RH061,1
c1,OL703,3
c2,KQ067,4
c3,UK793,1
c4,UC605,1
c5,FX106,4
c6,EY961,2
c7,OW743,4
c8,CL998,2
c9,XI135,1
c1,IB715,3
c2,II091,2
c3,YX147,1
c4,XW420,4
c5,BU517,3
c6,GT774,2
c7,QE364,1
c8,VK427,3
c9,JZ640,4
c1,IE370,4
c2,OR813,4
c3,EH381,4
c4,AX809,3
c5,NY636,4
c6,ZN128,1
c7,KR111,4
c8,GH062,1
c9,IM139,4
c1,KT200,4
c2,RQ864,1
c3,PJ543,3
c4,ZH615,2
c5,UP186,4
c6,DT926,3
c7,KJ381,1
c8,TR614,4
c9,EL746,2
c1,GG543,4
c2,MF451,4
c3,NX356,3
c4,GR915,4
c5,UA956,2
c6,EQ714,4
c7,FW458,3
c8,LR893,1
c9,WJ512,4
c1,GA783,2
c2,FR365,2
c3,LW137,3
c4,YD397,2
c5,AE061,3
c6,VO605,4
c7,MY111,1
c8,VJ784,2
c9,FR710,4
c1,EA920,2
c2,VB610,3
c3,NZ222,1
c4,YY505,1
c5,BD115,2
c6,GL842,4
c7,GZ820,4
c8,MA350,3
c9,DK296,4
c1,GD861,1
c2,QS241,3
c3,CB394,3
c4,RD736,4
c5,ZE917,2
c6,UR250,2
c7,QU357,4
c8,NO264,4
c9,QH689,2
c1,CE603,3
c2,BB170,4
c3,ZU826,2
c4,JZ658,3
c5,DG359,2
c6,SM677,3
c7,GK993,2
c8,RA192,3
c9,SA043,3
c1,NL711,2
c2,LS613,1
c3,OW843,2
c4,TS493,4
c5,HR805,1
c6,CA507,1
c7,KT793,3
c8,EX148,3
c9,VK551,3
c1,BI561,1
c2,IQ867,1
c3,XV389,4
c4,PN613,3
c5,ZY996,4
c6,WY389,3
c7,AL198,1
c8,MY365,3
c9,NL090,4
c1,PX167,3
c2,SM542,4
c3,IP769,3
c4,NG610,2
c5,RH493,1
c6,EG054,4
c7,MQ788,4
c8,TS687,3
c9,AC178,3
c1,DL665,4
c2,SM263,1
c3,SY328,4
c4,EC376,1
c5,ZL006,3
c6,DR969,2
c7,GT566,4
c8,CZ097,1
c9,AX303,3
c1,DJ582,2
c2,DR897,1
c3,GE229,4
c4,NM903,4
c5,SJ246,4
c6,SX300,3
c7,AS097,1
c8,LT613,1
c9,HW391,2
c1,RR041,3
c2,GW018,2
c3,AA460,1
c4,KJ633,2
c5,RD177,1
c6,CM141,2
c7,AI812,3
c8,TQ709,1
c9,CW200,2
c1,PR748,3
c2,PD358,3
c3,UI317,4
c4,SZ990,1
c5,WI001,2
c6,AO905,3
c7,FE296,1
c8,XU079,4
c9,MF274,3
c1,SP298,4
c2,IW130,3
c3,LK435,3
c4,HT092,3
c5,UQ248,2
c6,DM639,2
c7,NV205,4
c8,VV184,1
c9,VJ478,3
c1,JR481,2
c2,JW571,4
