idCamara,codigo,tiempoProcesamiento
c21,IT871,1
c22,RQ826,2
c23,WK642,3
c24,LN801,2
c25,XO785,2
c26,KR215,4
c27,OK592,3
c21,JT706,3
c22,HP749,4
c23,IF891,2
c24,ZS278,3
c25,MZ188,1
c26,ZE269,3
c27,RO678,3
c21,EQ106,1
c22,JD932,1
c23,DQ937,3
c24,ML266,4
c25,IT745,3
c26,IZ578,4
c27,HY721,4
c21,TJ407,3
c22,IF546,2
c23,DZ306,1
c24,XF933,1
c25,ER206,3
c26,SO482,2
c27,HP246,3
c21,WO251,2
c22,MS560,4
c23,ER849,4
c24,DO267,1
c25,RI508,4
c26,EW605,2
c27,FD976,3
c21,QR288,4
c22,GT442,1
c23,UZ205,1
c24,OH604,1
c25,GO563,2
c26,EX314,3
c27,YS850,4
c21,QO674,3
c22,CZ593,2
c23,CV774,4
c24,RC897,1
c25,YY378,2
c26,HR718,4
c27,QE914,1
c21,EG911,4
c22,VR823,3
c23,GE526,3
c24,ZG458,4
c25,OH668,4
c26,MG461,2
c27,ZK843,3
c21,NY238,2
c22,RF843,4
c23,RO727,3
c24,FP748,3
c25,RZ512,2
c26,XW857,4
c27,JU744,1
c21,EK860,2
c22,EG265,1
c23,UN523,3
c24,QQ438,3
c25,IL753,2
c26,IE651,1
c27,FP545,2
c21,OU818,4
c22,YG851,4
c23,EO423,1
c24,VU510,3
c25,OV966,2
c26,CV235,3
c27,MT902,1
c21,RH238,2
c22,PD296,3
c23,SE742,1
c24,TE228,1
c25,NM426,1
c26,TC217,3
c27,QJ676,3
c21,KO755,2
c22,FC352,1
c23,TT267,2
c24,VF202,3
c25,SX333,4
c26,KT266,2
c27,CU853,2
c21,ZY862,4
c22,TP323,1
c23,FQ843,3
c24,LD462,3
c25,UQ569,3
c26,WV210,4
c27,QG131,3
c21,MK378,2
c22,KP723,2
c21,CL839,4
c22,FX149,1
c23,QP264,3
c24,SO706,4
c25,RW557,4
c26,VN188,3
c27,WU355,3
c21,NY898,1
c22,NH874,2
c23,KR661,4
c24,CG822,2
c25,XR275,3
c26,JL528,4
c27,NC853,2
c21,ZN537,2
c22,MJ725,2
c23,WP878,1
c24,HT921,1
c25,EG209,3
c26,XP543,1
c27,XX588,2
c21,HP498,3
c22,UW431,4
c23,WE954,3
c24,HV751,1
c25,DF642,4
c26,IT490,3
c27,MY906,3
c21,UU195,1
c22,RG588,4
c23,SK187,1
c24,ED391,2
c25,CN334,4
c26,TX554,4
c27,VZ625,2
c21,DJ143,1
c22,FR203,2
c23,IL238,2
c24,QP806,1
c25,UE859,2
c26,JJ128,2
c27,YP676,3
c21,NR392,4
c22,RV594,3
c23,LP994,4
c24,SS894,4
c25,WV979,1
c26,MK689,4
c27,LX436,1
c21,KN613,1
c22,WJ935,3
c23,JK862,2
c24,VV835,4
c25,FC448,4
c26,IU448,1
c27,VL137,3
c21,SL733,3
c22,NC973,1
c23,PM141,3
c24,RC438,1
c25,JU756,1
c26,ID166,2
c27,ZM894,2
c21,ZS720,3
c22,RS156,4
c23,GE521,4
c24,CL838,1
c25,CQ960,4
c26,YC657,1
c27,WY149,3
c21,WK749,3
c22,WK286,1
c23,GL926,3
c24,EC740,2
c25,FV319,4
c26,LO481,4
c27,GT140,3
c21,JG416,2
c22,SF129,2
c23,CF900,1
c24,FS287,1
c25,TP737,3
c26,RF792,1
c27,EC580,3
c21,PL459,3
c22,ZV413,4
c23,ND602,3
c24,WU760,4
c25,IX678,3
c26,HG457,1
c27,LO253,2
c21,YJ186,4
c22,RT409,2
c23,YY548,2
c24,UF668,4
c25,RJ738,2
c26,EO322,4
c27,CS535,3
c21,WX688,2
c22,WN430,4
c21,IQ525,2
c22,WI348,2
c23,PI478,1
c24,FY342,4
c25,LP248,2
c26,GC560,1
c27,IH294,2
c21,HE720,4
c22,ZV312,4
c23,KF442,2
c24,GS464,3
c25,NZ209,1
c26,PE732,1
c27,OH278,3
c21,MG330,1
c22,EP452,3
c23,SK208,4
c24,NS273,2
c25,RT206,4
c26,ED321,2
c27,RZ664,4
c21,JV112,4
c22,MC493,3
c23,FH926,2
c24,OR157,4
c25,II527,4
c26,FU216,3
c27,DW240,3
c21,KV743,2
c22,GL104,4
c23,YO814,3
c24,GH309,2
c25,GM217,3
c26,UE396,1
c27,RM350,3
c21,PM478,2
c22,GL596,4
c23,CJ889,2
c24,IO183,1
c25,TI504,1
c26,JJ491,2
c27,MH460,1
c21,FC247,1
c22,SP482,2
c23,JC617,1
c24,PX394,4
c25,QH502,4
c26,CT758,2
c27,FJ385,2
c21,KT395,1
c22,RJ888,1
c23,PW455,1
c24,ZM439,3
c25,UO653,4
c26,CL254,3
c27,DC488,1
c21,MW782,2
c22,EE507,1
c23,YL984,4
c24,NG691,2
c25,DV327,1
c26,UN459,4
c27,PG905,3
c21,EI531,4
c22,UY154,4
c23,SZ792,1
c24,EZ789,2
c25,OR241,3
c26,ZC991,2
c27,DO832,1
c21,SM930,4
c22,JE126,1
c23,VM789,3
c24,VC218,3
c25,RY733,2
c26,KH304,3
c27,KD936,2
c21,PZ815,2
c22,TO860,4
c23,OW412,2
c24,IT850,1
c25,GE734,4
c26,TT291,2
c27,HK643,2
c21,ZZ325,4
c22,QG696,3
c23,DY454,3
c24,TX957,3
c25,MU150,1
c26,NV705,1
c27,SS660,2
c21,II721,1
c22,UX576,1
c23,KW957,3
c24,XP604,1
c25,DF113,2
c26,WC763,3
c27,EE269,4
c21,TC480,2
